max_depth,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,presort,accuracy
"[None, 2, 10, 20, 50]","['best', 'random']","[2, 10, 100]","[1, 10, 100]","[0.0, 0.1, 0.5, 0.3]","[None, 'auto', 'sqrt', 'log2', 1, 5, 10, 0.1, 0.5, 0.8]","[None, 2, 20, 40]","[0.0, 1e-05, 1e-06, 1e-07]","[False, True]",prediction
20,random,2,1,0.0,0.5,20,0.0,False,0.817415730337078
50,random,2,1,0.0,0.5,20,1e-07,False,0.817415730337078
20,random,2,1,0.0,0.5,20,1e-07,False,0.817415730337078
,random,2,1,0.0,0.5,20,0.0,True,0.817415730337078
10,random,2,1,0.0,0.5,40,1e-06,False,0.8160112359550561
20,best,10,1,0.0,5,20,0.0,False,0.814606741573033
50,best,10,1,0.0,5,20,1e-07,False,0.814606741573033
50,best,10,1,0.0,5,20,1e-06,True,0.814606741573033
50,random,2,1,0.0,0.5,40,1e-06,True,0.811797752808988
20,best,10,1,0.0,,20,1e-05,True,0.811797752808988
,random,10,1,0.0,0.8,40,1e-07,False,0.8103932584269661
50,random,10,1,0.0,0.8,40,0.0,False,0.8103932584269661
,random,2,1,0.0,10,20,0.0,False,0.8103932584269661
10,random,2,1,0.0,10,20,1e-06,True,0.8103932584269661
,best,2,1,0.0,,40,1e-07,True,0.808988764044943
,best,2,1,0.0,5,40,1e-05,False,0.8047752808988761
20,best,10,1,0.0,10,40,1e-05,False,0.8047752808988761
50,random,10,1,0.0,10,20,1e-05,False,0.8047752808988761
50,best,2,10,0.0,0.8,40,1e-07,False,0.803370786516853
20,random,2,1,0.0,0.8,40,1e-06,True,0.803370786516853
10,best,10,10,0.0,0.8,40,1e-05,True,0.803370786516853
50,best,2,10,0.0,0.8,20,0.0,True,0.803370786516853
,best,2,10,0.0,0.8,40,1e-07,True,0.803370786516853
20,best,2,1,0.0,0.8,40,0.0,True,0.803370786516853
20,best,10,1,0.0,10,20,1e-05,True,0.8005617977528091
2,best,2,10,0.0,0.5,20,0.0,False,0.8005617977528091
2,best,2,1,0.0,0.5,,1e-06,True,0.8005617977528091
10,random,10,1,0.0,0.5,,1e-06,False,0.8005617977528091
2,best,10,10,0.0,0.5,,1e-05,True,0.8005617977528091
2,best,2,1,0.0,0.5,40,1e-05,False,0.8005617977528091
10,random,2,1,0.0,0.8,40,1e-07,True,0.8005617977528091
2,best,2,10,0.0,0.5,40,1e-06,False,0.8005617977528091
,random,10,10,0.0,,,0.0,False,0.799157303370786
10,best,2,10,0.0,10,40,0.0,False,0.799157303370786
20,best,2,10,0.0,10,40,0.0,False,0.799157303370786
10,random,10,10,0.0,,20,1e-06,True,0.799157303370786
10,best,10,10,0.0,10,20,1e-05,False,0.799157303370786
,best,10,10,0.0,10,20,1e-07,False,0.799157303370786
20,best,10,1,0.0,0.5,40,1e-05,False,0.799157303370786
10,best,10,1,0.0,0.5,40,1e-05,False,0.799157303370786
,best,10,1,0.0,0.5,40,1e-06,True,0.799157303370786
10,best,2,10,0.0,10,20,1e-06,True,0.799157303370786
20,random,2,10,0.0,,20,1e-05,True,0.799157303370786
2,best,2,10,0.0,10,,0.0,False,0.7977528089887641
20,best,100,10,0.0,5,20,1e-06,False,0.7977528089887641
2,best,100,10,0.0,10,,1e-05,False,0.7977528089887641
20,best,2,10,0.0,5,40,1e-06,False,0.7977528089887641
2,best,100,1,0.0,10,20,1e-06,False,0.7977528089887641
50,best,2,10,0.0,5,20,1e-06,False,0.7977528089887641
50,best,2,10,0.0,5,40,1e-06,False,0.7977528089887641
20,best,10,10,0.0,5,40,1e-05,False,0.7977528089887641
50,random,10,10,0.0,10,,1e-05,False,0.7977528089887641
2,best,10,1,0.0,5,,1e-05,True,0.7977528089887641
