n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,accuracy
"[10, 1, 100]","[10, 1, 100]","[20, 2, 200]",[1],[0.0],['auto'],[None],[0.0],[True],[False],[False],prediction
100,10,20,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
100,10,2,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
100,100,20,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
10,100,2,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
100,100,2,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
10,10,20,1,0.0,auto,,0.0,True,False,False,0.814606741573033
10,10,2,1,0.0,auto,,0.0,True,False,False,0.811797752808988
10,100,20,1,0.0,auto,,0.0,True,False,False,0.8103932584269661
1,100,20,1,0.0,auto,,0.0,True,False,False,0.787921348314606
1,10,200,1,0.0,auto,,0.0,True,False,False,0.7837078651685391
1,1,20,1,0.0,auto,,0.0,True,False,False,0.7837078651685391
1,1,2,1,0.0,auto,,0.0,True,False,False,0.7837078651685391
1,1,200,1,0.0,auto,,0.0,True,False,False,0.7837078651685391
1,100,200,1,0.0,auto,,0.0,True,False,False,0.7837078651685391
1,10,20,1,0.0,auto,,0.0,True,False,False,0.7710674157303371
1,100,2,1,0.0,auto,,0.0,True,False,False,0.769662921348314
1,10,2,1,0.0,auto,,0.0,True,False,False,0.766853932584269
100,10,200,1,0.0,auto,,0.0,True,False,False,0.761235955056179
100,100,200,1,0.0,auto,,0.0,True,False,False,0.761235955056179
10,10,200,1,0.0,auto,,0.0,True,False,False,0.7598314606741571
10,100,200,1,0.0,auto,,0.0,True,False,False,0.7598314606741571
10,1,20,1,0.0,auto,,0.0,True,False,False,0.726123595505618
10,1,2,1,0.0,auto,,0.0,True,False,False,0.726123595505618
10,1,200,1,0.0,auto,,0.0,True,False,False,0.726123595505618
100,1,20,1,0.0,auto,,0.0,True,False,False,0.724719101123595
100,1,2,1,0.0,auto,,0.0,True,False,False,0.724719101123595
100,1,200,1,0.0,auto,,0.0,True,False,False,0.724719101123595
