n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,accuracy
"[25, 50, 75]","[10, 15, 20]","[10, 15, 20]","[1, 2, 5, 10]","[0.0, 0.1, 0.5]","['auto', 'sqrt', 'log2', None, 0.1, 0.5, 0.7]",[None],[0.0],[True],[False],[False],prediction
50,10,10,1,0.0,sqrt,,0.0,True,False,False,0.832865168539325
50,10,10,1,0.0,auto,,0.0,True,False,False,0.832865168539325
25,15,15,1,0.0,log2,,0.0,True,False,False,0.8314606741573031
50,15,15,1,0.0,auto,,0.0,True,False,False,0.83005617977528
25,10,20,1,0.0,log2,,0.0,True,False,False,0.83005617977528
75,10,10,1,0.0,sqrt,,0.0,True,False,False,0.8286516853932581
25,10,20,2,0.0,sqrt,,0.0,True,False,False,0.8272471910112361
25,15,15,2,0.0,log2,,0.0,True,False,False,0.8272471910112361
50,15,10,2,0.0,auto,,0.0,True,False,False,0.8272471910112361
25,15,15,2,0.0,sqrt,,0.0,True,False,False,0.8272471910112361
50,15,10,2,0.0,sqrt,,0.0,True,False,False,0.8272471910112361
25,15,10,2,0.0,sqrt,,0.0,True,False,False,0.8272471910112361
50,15,10,1,0.0,auto,,0.0,True,False,False,0.8258426966292131
75,20,10,1,0.0,auto,,0.0,True,False,False,0.8258426966292131
25,20,10,2,0.0,auto,,0.0,True,False,False,0.8258426966292131
50,15,10,1,0.0,sqrt,,0.0,True,False,False,0.8258426966292131
75,20,10,1,0.0,sqrt,,0.0,True,False,False,0.8258426966292131
25,10,10,2,0.0,auto,,0.0,True,False,False,0.8244382022471911
50,20,10,1,0.0,auto,,0.0,True,False,False,0.8244382022471911
25,20,20,2,0.0,sqrt,,0.0,True,False,False,0.8244382022471911
25,10,10,2,0.0,sqrt,,0.0,True,False,False,0.8244382022471911
25,20,15,1,0.0,log2,,0.0,True,False,False,0.8244382022471911
50,20,15,1,0.0,log2,,0.0,True,False,False,0.8244382022471911
25,10,15,2,0.0,auto,,0.0,True,False,False,0.8244382022471911
50,20,15,1,0.0,auto,,0.0,True,False,False,0.8244382022471911
25,20,20,2,0.0,auto,,0.0,True,False,False,0.8244382022471911
25,10,15,2,0.0,log2,,0.0,True,False,False,0.8244382022471911
50,20,10,2,0.0,sqrt,,0.0,True,False,False,0.823033707865168
75,10,15,2,0.0,log2,,0.0,True,False,False,0.823033707865168
25,15,20,1,0.0,log2,,0.0,True,False,False,0.823033707865168
50,20,10,2,0.0,auto,,0.0,True,False,False,0.823033707865168
25,10,15,1,0.0,log2,,0.0,True,False,False,0.8216292134831461
25,10,15,1,0.0,sqrt,,0.0,True,False,False,0.8216292134831461
75,15,10,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
25,10,15,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
75,20,20,2,0.0,log2,,0.0,True,False,False,0.820224719101123
50,10,20,1,0.0,0.5,,0.0,True,False,False,0.820224719101123
75,20,20,2,0.0,sqrt,,0.0,True,False,False,0.820224719101123
50,10,10,2,0.0,log2,,0.0,True,False,False,0.820224719101123
25,20,10,2,0.0,0.5,,0.0,True,False,False,0.820224719101123
25,20,15,2,0.0,0.7000000000000001,,0.0,True,False,False,0.820224719101123
75,10,10,1,0.0,0.5,,0.0,True,False,False,0.820224719101123
75,20,20,2,0.0,0.7000000000000001,,0.0,True,False,False,0.8188202247191011
50,10,15,2,0.0,sqrt,,0.0,True,False,False,0.8188202247191011
50,10,15,2,0.0,log2,,0.0,True,False,False,0.8188202247191011
75,15,10,2,0.0,0.7000000000000001,,0.0,True,False,False,0.8188202247191011
75,20,15,2,0.0,0.7000000000000001,,0.0,True,False,False,0.8188202247191011
75,10,20,1,0.0,auto,,0.0,True,False,False,0.8188202247191011
25,20,15,1,0.0,0.5,,0.0,True,False,False,0.8188202247191011
50,20,15,2,0.0,log2,,0.0,True,False,False,0.8188202247191011
75,10,20,1,0.0,sqrt,,0.0,True,False,False,0.8188202247191011
75,10,15,1,0.0,sqrt,,0.0,True,False,False,0.8188202247191011
75,15,20,1,0.0,log2,,0.0,True,False,False,0.8188202247191011
75,20,15,1,0.0,log2,,0.0,True,False,False,0.8188202247191011
75,15,15,2,0.0,0.7000000000000001,,0.0,True,False,False,0.8188202247191011
25,15,10,2,0.0,0.5,,0.0,True,False,False,0.8188202247191011
50,20,15,2,0.0,sqrt,,0.0,True,False,False,0.8188202247191011
25,20,10,1,0.0,log2,,0.0,True,False,False,0.817415730337078
50,10,10,2,0.0,,,0.0,True,False,False,0.817415730337078
25,20,10,1,0.0,sqrt,,0.0,True,False,False,0.817415730337078
50,10,20,2,0.0,log2,,0.0,True,False,False,0.817415730337078
25,20,10,1,0.0,,,0.0,True,False,False,0.817415730337078
25,15,15,1,0.0,0.7000000000000001,,0.0,True,False,False,0.817415730337078
25,15,20,2,0.0,sqrt,,0.0,True,False,False,0.817415730337078
50,10,15,1,0.0,auto,,0.0,True,False,False,0.817415730337078
25,15,20,2,0.0,auto,,0.0,True,False,False,0.817415730337078
50,10,15,5,0.0,sqrt,,0.0,True,False,False,0.817415730337078
75,20,15,2,0.0,,,0.0,True,False,False,0.817415730337078
25,20,10,1,0.0,auto,,0.0,True,False,False,0.817415730337078
25,10,20,2,0.0,,,0.0,True,False,False,0.817415730337078
75,20,20,1,0.0,0.5,,0.0,True,False,False,0.817415730337078
50,10,15,5,0.0,auto,,0.0,True,False,False,0.817415730337078
50,10,20,2,0.0,auto,,0.0,True,False,False,0.817415730337078
50,15,15,2,0.0,0.7000000000000001,,0.0,True,False,False,0.8160112359550561
75,20,20,1,0.0,sqrt,,0.0,True,False,False,0.8160112359550561
75,20,20,1,0.0,log2,,0.0,True,False,False,0.8160112359550561
25,10,20,1,0.0,,,0.0,True,False,False,0.8160112359550561
50,10,10,1,0.0,0.5,,0.0,True,False,False,0.8160112359550561
75,20,20,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
50,15,15,2,0.0,,,0.0,True,False,False,0.8160112359550561
75,15,15,5,0.0,sqrt,,0.0,True,False,False,0.8160112359550561
75,15,15,2,0.0,,,0.0,True,False,False,0.8160112359550561
25,20,10,1,0.0,0.1,,0.0,True,False,False,0.8160112359550561
75,10,10,2,0.0,,,0.0,True,False,False,0.8160112359550561
50,20,20,1,0.0,sqrt,,0.0,True,False,False,0.8160112359550561
50,20,20,1,0.0,log2,,0.0,True,False,False,0.8160112359550561
75,10,10,2,0.0,0.5,,0.0,True,False,False,0.8160112359550561
25,15,15,5,0.0,auto,,0.0,True,False,False,0.814606741573033
75,20,15,5,0.0,sqrt,,0.0,True,False,False,0.814606741573033
75,10,10,1,0.0,0.7000000000000001,,0.0,True,False,False,0.814606741573033
75,20,10,1,0.0,0.1,,0.0,True,False,False,0.814606741573033
25,20,10,1,0.0,0.5,,0.0,True,False,False,0.814606741573033
25,20,20,1,0.0,,,0.0,True,False,False,0.814606741573033
75,15,10,1,0.0,0.5,,0.0,True,False,False,0.814606741573033
75,20,10,1,0.0,0.5,,0.0,True,False,False,0.814606741573033
75,20,15,5,0.0,auto,,0.0,True,False,False,0.814606741573033
25,20,20,1,0.0,0.5,,0.0,True,False,False,0.814606741573033
25,15,10,5,0.0,auto,,0.0,True,False,False,0.814606741573033
75,10,15,1,0.0,0.7000000000000001,,0.0,True,False,False,0.814606741573033
75,10,20,2,0.0,log2,,0.0,True,False,False,0.814606741573033
25,20,15,5,0.0,auto,,0.0,True,False,False,0.814606741573033
