n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[10, 11, 12, 13, 14, 15, 20, 21, 22, 23, 24, 25]",[1],[0.0],['auto'],[None],[0.0],[True],[False],prediction
11,10,20,1,0.0,auto,,0.0,True,False,0.84129213483146
14,13,12,1,0.0,auto,,0.0,True,False,0.832865168539325
9,15,13,1,0.0,auto,,0.0,True,False,0.8286516853932581
13,12,15,1,0.0,auto,,0.0,True,False,0.8272471910112361
4,9,14,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,15,20,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,14,20,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,10,11,1,0.0,auto,,0.0,True,False,0.8258426966292131
9,9,14,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,13,11,1,0.0,auto,,0.0,True,False,0.8258426966292131
10,12,11,1,0.0,auto,,0.0,True,False,0.8244382022471911
11,15,14,1,0.0,auto,,0.0,True,False,0.8244382022471911
9,5,23,1,0.0,auto,,0.0,True,False,0.8244382022471911
9,9,11,1,0.0,auto,,0.0,True,False,0.8244382022471911
9,9,12,1,0.0,auto,,0.0,True,False,0.823033707865168
13,15,15,1,0.0,auto,,0.0,True,False,0.823033707865168
10,6,13,1,0.0,auto,,0.0,True,False,0.823033707865168
8,10,13,1,0.0,auto,,0.0,True,False,0.823033707865168
14,15,10,1,0.0,auto,,0.0,True,False,0.8216292134831461
14,9,10,1,0.0,auto,,0.0,True,False,0.8216292134831461
13,11,24,1,0.0,auto,,0.0,True,False,0.820224719101123
8,7,15,1,0.0,auto,,0.0,True,False,0.820224719101123
12,13,13,1,0.0,auto,,0.0,True,False,0.820224719101123
13,13,21,1,0.0,auto,,0.0,True,False,0.8188202247191011
7,14,14,1,0.0,auto,,0.0,True,False,0.8188202247191011
11,4,14,1,0.0,auto,,0.0,True,False,0.817415730337078
13,5,25,1,0.0,auto,,0.0,True,False,0.817415730337078
11,11,15,1,0.0,auto,,0.0,True,False,0.817415730337078
7,13,10,1,0.0,auto,,0.0,True,False,0.8160112359550561
12,5,24,1,0.0,auto,,0.0,True,False,0.8160112359550561
5,6,22,1,0.0,auto,,0.0,True,False,0.8160112359550561
5,6,12,1,0.0,auto,,0.0,True,False,0.814606741573033
12,11,14,1,0.0,auto,,0.0,True,False,0.814606741573033
13,15,25,1,0.0,auto,,0.0,True,False,0.811797752808988
10,5,21,1,0.0,auto,,0.0,True,False,0.8103932584269661
9,4,13,1,0.0,auto,,0.0,True,False,0.808988764044943
10,4,13,1,0.0,auto,,0.0,True,False,0.808988764044943
6,15,15,1,0.0,auto,,0.0,True,False,0.8075842696629211
5,7,15,1,0.0,auto,,0.0,True,False,0.8075842696629211
14,13,24,1,0.0,auto,,0.0,True,False,0.8075842696629211
14,9,25,1,0.0,auto,,0.0,True,False,0.806179775280898
6,15,11,1,0.0,auto,,0.0,True,False,0.806179775280898
8,6,14,1,0.0,auto,,0.0,True,False,0.806179775280898
4,11,10,1,0.0,auto,,0.0,True,False,0.8047752808988761
5,6,13,1,0.0,auto,,0.0,True,False,0.8047752808988761
10,4,11,1,0.0,auto,,0.0,True,False,0.8047752808988761
10,11,23,1,0.0,auto,,0.0,True,False,0.8047752808988761
10,15,23,1,0.0,auto,,0.0,True,False,0.803370786516853
5,15,22,1,0.0,auto,,0.0,True,False,0.803370786516853
7,12,23,1,0.0,auto,,0.0,True,False,0.803370786516853
12,5,12,1,0.0,auto,,0.0,True,False,0.803370786516853
8,8,22,1,0.0,auto,,0.0,True,False,0.8005617977528091
6,14,23,1,0.0,auto,,0.0,True,False,0.8005617977528091
14,7,22,1,0.0,auto,,0.0,True,False,0.8005617977528091
15,3,20,1,0.0,auto,,0.0,True,False,0.799157303370786
15,2,25,1,0.0,auto,,0.0,True,False,0.799157303370786
13,9,23,1,0.0,auto,,0.0,True,False,0.799157303370786
4,1,12,1,0.0,auto,,0.0,True,False,0.799157303370786
4,14,24,1,0.0,auto,,0.0,True,False,0.799157303370786
4,1,20,1,0.0,auto,,0.0,True,False,0.799157303370786
10,9,23,1,0.0,auto,,0.0,True,False,0.7977528089887641
14,2,25,1,0.0,auto,,0.0,True,False,0.7977528089887641
6,1,22,1,0.0,auto,,0.0,True,False,0.7949438202247191
3,7,20,1,0.0,auto,,0.0,True,False,0.7949438202247191
3,14,11,1,0.0,auto,,0.0,True,False,0.7949438202247191
8,2,13,1,0.0,auto,,0.0,True,False,0.7949438202247191
2,6,12,1,0.0,auto,,0.0,True,False,0.793539325842696
13,3,14,1,0.0,auto,,0.0,True,False,0.793539325842696
2,15,23,1,0.0,auto,,0.0,True,False,0.7921348314606741
11,3,11,1,0.0,auto,,0.0,True,False,0.7921348314606741
6,3,10,1,0.0,auto,,0.0,True,False,0.7921348314606741
3,7,13,1,0.0,auto,,0.0,True,False,0.790730337078651
8,3,14,1,0.0,auto,,0.0,True,False,0.7893258426966291
2,7,25,1,0.0,auto,,0.0,True,False,0.787921348314606
2,5,21,1,0.0,auto,,0.0,True,False,0.787921348314606
11,3,22,1,0.0,auto,,0.0,True,False,0.787921348314606
13,2,12,1,0.0,auto,,0.0,True,False,0.7865168539325841
10,2,10,1,0.0,auto,,0.0,True,False,0.7865168539325841
7,2,14,1,0.0,auto,,0.0,True,False,0.7837078651685391
7,2,11,1,0.0,auto,,0.0,True,False,0.7837078651685391
9,2,10,1,0.0,auto,,0.0,True,False,0.782303370786516
