bootstrap,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,oob_score,accuracy
True,,auto,,0.0,1,20,0.0,10,False,0.8216292134831461
True,,auto,,0.0,1,20,0.0,10,True,0.8216292134831461
True,,auto,,0.0,10,2,0.0,10,False,0.814606741573033
True,,auto,,0.0,10,2,0.0,10,True,0.814606741573033
True,,auto,,0.0,10,20,0.0,10,False,0.814606741573033
True,,auto,,0.0,10,20,0.0,10,True,0.814606741573033
True,,auto,,0.0,10,2,0.0,1,False,0.803370786516853
True,,auto,,0.0,10,2,0.0,1,True,0.803370786516853
True,,auto,,0.0,10,20,0.0,1,False,0.803370786516853
True,,auto,,0.0,10,20,0.0,1,True,0.803370786516853
True,,1,,0.0,10,2,0.0,10,False,0.7949438202247191
True,,1,,0.0,10,2,0.0,10,True,0.7949438202247191
True,,1,,0.0,10,20,0.0,10,False,0.7949438202247191
True,,1,,0.0,10,20,0.0,10,True,0.7949438202247191
True,,1,,0.0,1,20,0.0,10,False,0.7893258426966291
True,,1,,0.0,1,20,0.0,10,True,0.7893258426966291
True,,auto,,0.0,1,2,0.0,10,False,0.7865168539325841
True,,auto,,0.0,1,2,0.0,10,True,0.7865168539325841
True,,1,,0.0,1,2,0.0,10,False,0.7808988764044941
True,,1,,0.0,1,2,0.0,10,True,0.7808988764044941
True,,auto,,0.0,1,2,0.25,1,False,0.7738764044943821
True,,auto,,0.0,1,2,0.25,1,True,0.7738764044943821
True,,auto,,0.0,1,20,0.25,1,False,0.7738764044943821
True,,auto,,0.0,1,20,0.25,1,True,0.7738764044943821
True,,auto,,0.0,10,2,0.25,1,False,0.7738764044943821
True,,auto,,0.0,10,2,0.25,1,True,0.7738764044943821
True,,auto,,0.0,10,20,0.25,1,False,0.7738764044943821
True,,auto,,0.0,10,20,0.25,1,True,0.7738764044943821
True,,auto,,0.1,1,2,0.0,1,False,0.7738764044943821
True,,auto,,0.1,1,2,0.0,1,True,0.7738764044943821
True,,auto,,0.1,1,2,0.25,1,False,0.7738764044943821
True,,auto,,0.1,1,2,0.25,1,True,0.7738764044943821
True,,auto,,0.1,1,20,0.0,1,False,0.7738764044943821
True,,auto,,0.1,1,20,0.0,1,True,0.7738764044943821
True,,auto,,0.1,1,20,0.25,1,False,0.7738764044943821
True,,auto,,0.1,1,20,0.25,1,True,0.7738764044943821
True,,auto,,0.1,10,2,0.0,1,False,0.7738764044943821
True,,auto,,0.1,10,2,0.0,1,True,0.7738764044943821
True,,auto,,0.1,10,2,0.25,1,False,0.7738764044943821
True,,auto,,0.1,10,2,0.25,1,True,0.7738764044943821
True,,auto,,0.1,10,20,0.0,1,False,0.7738764044943821
True,,auto,,0.1,10,20,0.0,1,True,0.7738764044943821
True,,auto,,0.1,10,20,0.25,1,False,0.7738764044943821
True,,auto,,0.1,10,20,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.0,1,2,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.0,1,2,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.0,1,2,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.0,1,2,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.0,1,20,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.0,1,20,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.0,1,20,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.0,1,20,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.0,10,2,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.0,10,2,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.0,10,2,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.0,10,2,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.0,10,20,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.0,10,20,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.0,10,20,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.0,10,20,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.1,1,2,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.1,1,2,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.1,1,2,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.1,1,2,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.1,1,20,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.1,1,20,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.1,1,20,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.1,1,20,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.1,10,2,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.1,10,2,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.1,10,2,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.1,10,2,0.25,1,True,0.7738764044943821
True,,auto,2.0,0.1,10,20,0.0,1,False,0.7738764044943821
True,,auto,2.0,0.1,10,20,0.0,1,True,0.7738764044943821
True,,auto,2.0,0.1,10,20,0.25,1,False,0.7738764044943821
True,,auto,2.0,0.1,10,20,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.0,1,2,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.0,1,2,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.0,1,2,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.0,1,2,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.0,1,20,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.0,1,20,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.0,1,20,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.0,1,20,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.0,10,2,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.0,10,2,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.0,10,2,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.0,10,2,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.0,10,20,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.0,10,20,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.0,10,20,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.0,10,20,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.1,1,2,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.1,1,2,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.1,1,2,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.1,1,2,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.1,1,20,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.1,1,20,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.1,1,20,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.1,1,20,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.1,10,2,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.1,10,2,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.1,10,2,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.1,10,2,0.25,1,True,0.7738764044943821
True,1.0,auto,,0.1,10,20,0.0,1,False,0.7738764044943821
True,1.0,auto,,0.1,10,20,0.0,1,True,0.7738764044943821
True,1.0,auto,,0.1,10,20,0.25,1,False,0.7738764044943821
True,1.0,auto,,0.1,10,20,0.25,1,True,0.7738764044943821
True,1.0,auto,2.0,0.0,1,2,0.0,1,False,0.7738764044943821
True,1.0,auto,2.0,0.0,1,2,0.0,1,True,0.7738764044943821
True,1.0,auto,2.0,0.0,1,2,0.25,1,False,0.7738764044943821
True,1.0,auto,2.0,0.0,1,2,0.25,1,True,0.7738764044943821
True,1.0,auto,2.0,0.0,1,20,0.0,1,False,0.7738764044943821
True,1.0,auto,2.0,0.0,1,20,0.0,1,True,0.7738764044943821
