n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[2, 10, 50]","[2, 10, 50]","[0.1, 0.5, 1.0]",[1],[0.0],['auto'],[None],[0.0],"[True, False]",[False],prediction
50,10,0.1,1,0.0,auto,,0.0,True,False,0.814606741573033
10,50,0.1,1,0.0,auto,,0.0,False,False,0.8132022471910111
50,10,0.1,1,0.0,auto,,0.0,False,False,0.811797752808988
50,50,0.1,1,0.0,auto,,0.0,True,False,0.8103932584269661
50,50,0.1,1,0.0,auto,,0.0,False,False,0.8103932584269661
2,10,0.1,1,0.0,auto,,0.0,True,False,0.8075842696629211
10,10,0.1,1,0.0,auto,,0.0,False,False,0.8075842696629211
2,50,0.1,1,0.0,auto,,0.0,True,False,0.806179775280898
50,2,0.1,1,0.0,auto,,0.0,False,False,0.8019662921348311
2,50,0.1,1,0.0,auto,,0.0,False,False,0.799157303370786
10,10,0.1,1,0.0,auto,,0.0,True,False,0.7977528089887641
2,10,0.1,1,0.0,auto,,0.0,False,False,0.796348314606741
2,2,0.1,1,0.0,auto,,0.0,False,False,0.7949438202247191
10,50,0.1,1,0.0,auto,,0.0,True,False,0.793539325842696
50,2,0.1,1,0.0,auto,,0.0,True,False,0.7893258426966291
50,2,0.5,1,0.0,auto,,0.0,True,False,0.7865168539325841
50,10,0.5,1,0.0,auto,,0.0,True,False,0.7865168539325841
50,50,0.5,1,0.0,auto,,0.0,True,False,0.7865168539325841
10,2,0.1,1,0.0,auto,,0.0,True,False,0.785112359550561
10,10,0.5,1,0.0,auto,,0.0,False,False,0.7766853932584271
10,50,0.5,1,0.0,auto,,0.0,False,False,0.7766853932584271
10,2,0.1,1,0.0,auto,,0.0,False,False,0.7752808988764041
50,2,0.5,1,0.0,auto,,0.0,False,False,0.772471910112359
50,10,0.5,1,0.0,auto,,0.0,False,False,0.7710674157303371
50,50,0.5,1,0.0,auto,,0.0,False,False,0.7710674157303371
10,2,0.5,1,0.0,auto,,0.0,False,False,0.7626404494382021
2,2,0.1,1,0.0,auto,,0.0,True,False,0.7542134831460671
10,2,0.5,1,0.0,auto,,0.0,True,False,0.7514044943820221
10,10,0.5,1,0.0,auto,,0.0,True,False,0.7514044943820221
10,50,0.5,1,0.0,auto,,0.0,True,False,0.7514044943820221
50,2,1.0,1,0.0,auto,,0.0,False,False,0.745786516853932
2,10,0.5,1,0.0,auto,,0.0,False,False,0.745786516853932
50,10,1.0,1,0.0,auto,,0.0,False,False,0.745786516853932
2,50,0.5,1,0.0,auto,,0.0,False,False,0.745786516853932
50,50,1.0,1,0.0,auto,,0.0,False,False,0.745786516853932
10,2,1.0,1,0.0,auto,,0.0,False,False,0.740168539325842
10,10,1.0,1,0.0,auto,,0.0,False,False,0.740168539325842
10,50,1.0,1,0.0,auto,,0.0,False,False,0.740168539325842
2,2,0.5,1,0.0,auto,,0.0,False,False,0.7387640449438201
2,2,0.5,1,0.0,auto,,0.0,True,False,0.7233146067415731
2,10,0.5,1,0.0,auto,,0.0,True,False,0.7233146067415731
2,50,0.5,1,0.0,auto,,0.0,True,False,0.7233146067415731
2,2,1.0,1,0.0,auto,,0.0,False,False,0.7233146067415731
2,10,1.0,1,0.0,auto,,0.0,False,False,0.7233146067415731
2,50,1.0,1,0.0,auto,,0.0,False,False,0.7233146067415731
2,2,1.0,1,0.0,auto,,0.0,True,False,0.625
10,2,1.0,1,0.0,auto,,0.0,True,False,0.625
50,2,1.0,1,0.0,auto,,0.0,True,False,0.625
2,10,1.0,1,0.0,auto,,0.0,True,False,0.625
10,10,1.0,1,0.0,auto,,0.0,True,False,0.625
50,10,1.0,1,0.0,auto,,0.0,True,False,0.625
2,50,1.0,1,0.0,auto,,0.0,True,False,0.625
10,50,1.0,1,0.0,auto,,0.0,True,False,0.625
50,50,1.0,1,0.0,auto,,0.0,True,False,0.625
