n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]","[10, 11, 12, 13, 14, 15, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[1, 2, 3, 4, 0.001, 0.01, 0.02, 0.03, 0.04, 0.1]","[0.0, 0.01, 0.0001]","['auto', 'sqrt', 'log2', None]","[None, 2, 5, 10]","[0.0, 0.001, 0.01, 0.1]","[True, False]",[False],prediction
15,15,10,0.01,0.0001,log2,,0.0,False,False,0.84129213483146
11,12,20,4,0.0001,sqrt,,0.0,False,False,0.84129213483146
12,15,21,4,0.01,log2,,0.001,False,False,0.8398876404494381
16,12,26,0.001,0.0,log2,,0.001,False,False,0.8398876404494381
16,12,10,4,0.0001,auto,,0.0,False,False,0.8398876404494381
14,12,20,0.001,0.0,sqrt,,0.001,False,False,0.838483146067415
13,13,20,0.001,0.01,auto,,0.001,False,False,0.8370786516853931
15,16,28,3,0.0,auto,,0.001,False,False,0.8370786516853931
11,15,10,4,0.0,auto,,0.0,False,False,0.8370786516853931
14,15,28,0.02,0.01,log2,,0.0,False,False,0.83567415730337
16,16,10,2,0.01,sqrt,,0.001,False,False,0.8342696629213481
13,14,28,1,0.0,sqrt,,0.001,False,False,0.8342696629213481
10,11,20,2,0.0001,auto,,0.0,True,False,0.8342696629213481
12,13,10,3,0.01,sqrt,,0.001,False,False,0.8342696629213481
15,10,15,4,0.0001,log2,,0.0,False,False,0.832865168539325
10,16,23,2,0.0,log2,,0.001,False,False,0.832865168539325
14,5,22,0.02,0.0001,auto,,0.001,False,False,0.832865168539325
16,14,14,1,0.0,sqrt,,0.0,True,False,0.832865168539325
15,14,10,1,0.0,auto,10,0.0,False,False,0.8314606741573031
10,12,12,0.001,0.0,sqrt,,0.0,False,False,0.8314606741573031
13,15,13,3,0.0001,log2,,0.0,True,False,0.8314606741573031
10,15,21,2,0.0,auto,,0.0,True,False,0.83005617977528
14,16,27,0.02,0.0001,auto,,0.0,False,False,0.83005617977528
11,5,23,0.001,0.0,auto,,0.0,False,False,0.83005617977528
13,13,23,4,0.0,sqrt,,0.0,False,False,0.8286516853932581
15,13,25,3,0.0,log2,,0.0,False,False,0.8286516853932581
16,15,13,2,0.01,log2,,0.0,False,False,0.8286516853932581
10,15,23,0.001,0.0001,auto,,0.001,False,False,0.8286516853932581
14,16,20,3,0.0001,log2,,0.0,True,False,0.8286516853932581
15,5,23,3,0.0,log2,,0.001,False,False,0.8272471910112361
2,12,22,1,0.01,log2,,0.001,False,False,0.8272471910112361
