alpha,fit_intercept,normalize,copy_X,max_iter,solver,accuracy
"[1e-05, 0.0001, 0.1, 1, 10, 20, 25, 30, 35, 50]","[True, False]","[False, True]","[True, False]","[1, 10]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
10,False,False,True,10,sparse_cg,0.814606741573033
10,False,True,True,10,sparse_cg,0.814606741573033
10,False,False,False,10,sparse_cg,0.814606741573033
10,False,True,False,10,sparse_cg,0.814606741573033
0.0001,False,False,True,10,sparse_cg,0.811797752808988
0.0001,False,True,True,10,sparse_cg,0.811797752808988
0.0001,False,False,False,10,sparse_cg,0.811797752808988
0.0001,False,True,False,10,sparse_cg,0.811797752808988
0.1,False,False,True,10,sparse_cg,0.811797752808988
0.1,False,True,True,10,sparse_cg,0.811797752808988
0.1,False,False,False,10,sparse_cg,0.811797752808988
0.1,False,True,False,10,sparse_cg,0.811797752808988
25,False,False,True,10,sparse_cg,0.811797752808988
25,False,True,True,10,sparse_cg,0.811797752808988
25,False,False,False,10,sparse_cg,0.811797752808988
25,False,True,False,10,sparse_cg,0.811797752808988
30,False,False,True,1,cholesky,0.8103932584269661
30,False,False,True,1,svd,0.8103932584269661
30,False,True,True,1,cholesky,0.8103932584269661
30,False,True,True,1,svd,0.8103932584269661
30,False,False,True,10,cholesky,0.8103932584269661
30,False,False,True,10,svd,0.8103932584269661
30,False,True,True,10,cholesky,0.8103932584269661
30,False,True,True,10,svd,0.8103932584269661
30,False,False,False,1,cholesky,0.8103932584269661
30,False,False,False,1,svd,0.8103932584269661
30,False,True,False,1,cholesky,0.8103932584269661
30,False,True,False,1,svd,0.8103932584269661
30,False,False,False,10,cholesky,0.8103932584269661
30,False,False,False,10,svd,0.8103932584269661
30,False,True,False,10,cholesky,0.8103932584269661
30,False,True,False,10,svd,0.8103932584269661
1e-05,False,False,True,10,sparse_cg,0.808988764044943
1e-05,False,True,True,10,sparse_cg,0.808988764044943
1e-05,False,False,False,10,sparse_cg,0.808988764044943
1e-05,False,True,False,10,sparse_cg,0.808988764044943
1,False,False,True,10,sparse_cg,0.808988764044943
1,False,True,True,10,sparse_cg,0.808988764044943
1,False,False,False,10,sparse_cg,0.808988764044943
1,False,True,False,10,sparse_cg,0.808988764044943
20,True,False,True,10,sparse_cg,0.808988764044943
20,True,False,False,10,sparse_cg,0.808988764044943
30,True,False,True,1,cholesky,0.808988764044943
30,True,False,True,1,svd,0.808988764044943
30,True,False,True,10,cholesky,0.808988764044943
30,True,False,True,10,svd,0.808988764044943
30,False,False,True,10,sparse_cg,0.808988764044943
30,False,True,True,10,sparse_cg,0.808988764044943
30,True,False,False,1,cholesky,0.808988764044943
30,True,False,False,1,svd,0.808988764044943
30,True,False,False,10,cholesky,0.808988764044943
30,True,False,False,10,svd,0.808988764044943
30,False,False,False,10,sparse_cg,0.808988764044943
30,False,True,False,10,sparse_cg,0.808988764044943
1,True,False,True,10,sparse_cg,0.8075842696629211
1,True,False,False,10,sparse_cg,0.8075842696629211
20,False,False,True,10,sparse_cg,0.8075842696629211
20,False,True,True,10,sparse_cg,0.8075842696629211
20,False,False,False,10,sparse_cg,0.8075842696629211
20,False,True,False,10,sparse_cg,0.8075842696629211
25,True,False,True,1,cholesky,0.8075842696629211
25,True,False,True,1,svd,0.8075842696629211
25,True,False,True,10,cholesky,0.8075842696629211
25,True,False,True,10,svd,0.8075842696629211
25,False,False,True,1,cholesky,0.8075842696629211
25,False,False,True,1,svd,0.8075842696629211
25,False,True,True,1,cholesky,0.8075842696629211
25,False,True,True,1,svd,0.8075842696629211
25,False,False,True,10,cholesky,0.8075842696629211
25,False,False,True,10,svd,0.8075842696629211
25,False,True,True,10,cholesky,0.8075842696629211
25,False,True,True,10,svd,0.8075842696629211
25,True,False,False,1,cholesky,0.8075842696629211
25,True,False,False,1,svd,0.8075842696629211
25,True,False,False,10,cholesky,0.8075842696629211
25,True,False,False,10,svd,0.8075842696629211
25,False,False,False,1,cholesky,0.8075842696629211
25,False,False,False,1,svd,0.8075842696629211
25,False,True,False,1,cholesky,0.8075842696629211
25,False,True,False,1,svd,0.8075842696629211
25,False,False,False,10,cholesky,0.8075842696629211
25,False,False,False,10,svd,0.8075842696629211
25,False,True,False,10,cholesky,0.8075842696629211
25,False,True,False,10,svd,0.8075842696629211
0.1,True,False,True,10,sparse_cg,0.806179775280898
0.1,True,False,False,10,sparse_cg,0.806179775280898
20,True,False,True,1,cholesky,0.806179775280898
20,True,False,True,1,svd,0.806179775280898
20,True,False,True,10,cholesky,0.806179775280898
20,True,False,True,10,svd,0.806179775280898
20,True,False,False,1,cholesky,0.806179775280898
20,True,False,False,1,svd,0.806179775280898
20,True,False,False,10,cholesky,0.806179775280898
20,True,False,False,10,svd,0.806179775280898
35,False,False,True,10,sparse_cg,0.806179775280898
35,False,True,True,10,sparse_cg,0.806179775280898
35,False,False,False,10,sparse_cg,0.806179775280898
35,False,True,False,10,sparse_cg,0.806179775280898
1e-05,True,False,True,10,sparse_cg,0.8047752808988761
1e-05,True,False,False,10,sparse_cg,0.8047752808988761
0.0001,True,True,True,1,cholesky,0.8047752808988761
0.0001,True,True,True,1,svd,0.8047752808988761
0.0001,True,False,True,10,sparse_cg,0.8047752808988761
0.0001,True,True,True,10,cholesky,0.8047752808988761
0.0001,True,True,True,10,svd,0.8047752808988761
0.0001,True,True,False,1,cholesky,0.8047752808988761
0.0001,True,True,False,1,svd,0.8047752808988761
0.0001,True,False,False,10,sparse_cg,0.8047752808988761
0.0001,True,True,False,10,cholesky,0.8047752808988761
0.0001,True,True,False,10,svd,0.8047752808988761
0.1,True,False,True,1,cholesky,0.8047752808988761
0.1,True,False,True,1,svd,0.8047752808988761
0.1,True,False,True,10,cholesky,0.8047752808988761
0.1,True,False,True,10,svd,0.8047752808988761
0.1,True,False,False,1,cholesky,0.8047752808988761
0.1,True,False,False,1,svd,0.8047752808988761
0.1,True,False,False,10,cholesky,0.8047752808988761
0.1,True,False,False,10,svd,0.8047752808988761
10,True,False,True,1,cholesky,0.8047752808988761
10,True,False,True,1,svd,0.8047752808988761
10,True,False,True,10,cholesky,0.8047752808988761
10,True,False,True,10,svd,0.8047752808988761
10,True,False,True,10,sparse_cg,0.8047752808988761
10,True,False,False,1,cholesky,0.8047752808988761
10,True,False,False,1,svd,0.8047752808988761
10,True,False,False,10,cholesky,0.8047752808988761
10,True,False,False,10,svd,0.8047752808988761
10,True,False,False,10,sparse_cg,0.8047752808988761
20,False,False,True,1,cholesky,0.8047752808988761
20,False,False,True,1,svd,0.8047752808988761
20,False,True,True,1,cholesky,0.8047752808988761
20,False,True,True,1,svd,0.8047752808988761
20,False,False,True,10,cholesky,0.8047752808988761
20,False,False,True,10,svd,0.8047752808988761
20,False,True,True,10,cholesky,0.8047752808988761
20,False,True,True,10,svd,0.8047752808988761
20,False,False,False,1,cholesky,0.8047752808988761
20,False,False,False,1,svd,0.8047752808988761
20,False,True,False,1,cholesky,0.8047752808988761
20,False,True,False,1,svd,0.8047752808988761
20,False,False,False,10,cholesky,0.8047752808988761
20,False,False,False,10,svd,0.8047752808988761
20,False,True,False,10,cholesky,0.8047752808988761
20,False,True,False,10,svd,0.8047752808988761
25,True,False,True,10,sparse_cg,0.8047752808988761
25,True,False,False,10,sparse_cg,0.8047752808988761
30,True,False,True,10,sparse_cg,0.8047752808988761
30,True,False,False,10,sparse_cg,0.8047752808988761
35,False,False,True,1,cholesky,0.8047752808988761
35,False,False,True,1,svd,0.8047752808988761
35,False,True,True,1,cholesky,0.8047752808988761
35,False,True,True,1,svd,0.8047752808988761
35,False,False,True,10,cholesky,0.8047752808988761
35,False,False,True,10,svd,0.8047752808988761
35,False,True,True,10,cholesky,0.8047752808988761
35,False,True,True,10,svd,0.8047752808988761
35,False,False,False,1,cholesky,0.8047752808988761
35,False,False,False,1,svd,0.8047752808988761
35,False,True,False,1,cholesky,0.8047752808988761
35,False,True,False,1,svd,0.8047752808988761
35,False,False,False,10,cholesky,0.8047752808988761
35,False,False,False,10,svd,0.8047752808988761
35,False,True,False,10,cholesky,0.8047752808988761
35,False,True,False,10,svd,0.8047752808988761
1e-05,True,False,True,1,cholesky,0.803370786516853
1e-05,True,False,True,1,svd,0.803370786516853
1e-05,True,True,True,1,cholesky,0.803370786516853
1e-05,True,True,True,1,svd,0.803370786516853
1e-05,True,False,True,10,cholesky,0.803370786516853
1e-05,True,False,True,10,svd,0.803370786516853
1e-05,True,True,True,10,cholesky,0.803370786516853
1e-05,True,True,True,10,svd,0.803370786516853
1e-05,True,True,True,10,sparse_cg,0.803370786516853
1e-05,True,False,False,1,cholesky,0.803370786516853
1e-05,True,False,False,1,svd,0.803370786516853
1e-05,True,True,False,1,cholesky,0.803370786516853
1e-05,True,True,False,1,svd,0.803370786516853
1e-05,True,False,False,10,cholesky,0.803370786516853
1e-05,True,False,False,10,svd,0.803370786516853
1e-05,True,True,False,10,cholesky,0.803370786516853
1e-05,True,True,False,10,svd,0.803370786516853
