C,kernel,degree,gamma,coef0,shrinking,probability,tol,max_iter,decision_function_shape,accuracy
"[1.0, 10, 100]","['rbf', 'linear', 'poly', 'sigmoid']","[3, 2]","['auto', 'scale']",[0.0],[True],[False],[0.001],[-1],['ovr'],prediction
10,poly,2,auto,0.0,True,False,0.001,-1,ovr,0.814606741573033
1.0,rbf,3,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
1.0,rbf,2,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,3,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,3,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,2,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,2,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,poly,2,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
1.0,rbf,3,scale,0.0,True,False,0.001,-1,ovr,0.8103932584269661
1.0,rbf,2,scale,0.0,True,False,0.001,-1,ovr,0.8103932584269661
100,poly,2,auto,0.0,True,False,0.001,-1,ovr,0.8005617977528091
100,poly,2,scale,0.0,True,False,0.001,-1,ovr,0.7977528089887641
1.0,linear,3,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
1.0,linear,3,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
1.0,linear,2,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
1.0,linear,2,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
10,linear,3,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
10,linear,3,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
10,linear,2,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
10,linear,2,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
100,linear,3,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
100,linear,3,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
100,linear,2,auto,0.0,True,False,0.001,-1,ovr,0.796348314606741
100,linear,2,scale,0.0,True,False,0.001,-1,ovr,0.796348314606741
10,poly,3,auto,0.0,True,False,0.001,-1,ovr,0.7949438202247191
10,poly,3,scale,0.0,True,False,0.001,-1,ovr,0.7893258426966291
1.0,poly,3,scale,0.0,True,False,0.001,-1,ovr,0.7808988764044941
1.0,poly,3,auto,0.0,True,False,0.001,-1,ovr,0.7766853932584271
1.0,poly,2,scale,0.0,True,False,0.001,-1,ovr,0.7752808988764041
1.0,poly,2,auto,0.0,True,False,0.001,-1,ovr,0.7682584269662921
100,rbf,3,auto,0.0,True,False,0.001,-1,ovr,0.7654494382022471
100,rbf,2,auto,0.0,True,False,0.001,-1,ovr,0.7654494382022471
100,rbf,3,scale,0.0,True,False,0.001,-1,ovr,0.764044943820224
100,rbf,2,scale,0.0,True,False,0.001,-1,ovr,0.764044943820224
100,poly,3,scale,0.0,True,False,0.001,-1,ovr,0.7598314606741571
100,poly,3,auto,0.0,True,False,0.001,-1,ovr,0.755617977528089
1.0,sigmoid,3,auto,0.0,True,False,0.001,-1,ovr,0.71629213483146
1.0,sigmoid,2,auto,0.0,True,False,0.001,-1,ovr,0.71629213483146
1.0,sigmoid,3,scale,0.0,True,False,0.001,-1,ovr,0.6966292134831461
1.0,sigmoid,2,scale,0.0,True,False,0.001,-1,ovr,0.6966292134831461
10,sigmoid,3,auto,0.0,True,False,0.001,-1,ovr,0.686797752808988
10,sigmoid,2,auto,0.0,True,False,0.001,-1,ovr,0.686797752808988
100,sigmoid,3,scale,0.0,True,False,0.001,-1,ovr,0.6853932584269661
100,sigmoid,2,scale,0.0,True,False,0.001,-1,ovr,0.6853932584269661
100,sigmoid,3,auto,0.0,True,False,0.001,-1,ovr,0.683988764044943
100,sigmoid,2,auto,0.0,True,False,0.001,-1,ovr,0.683988764044943
10,sigmoid,3,scale,0.0,True,False,0.001,-1,ovr,0.678370786516853
10,sigmoid,2,scale,0.0,True,False,0.001,-1,ovr,0.678370786516853
